Job Position,Office,City,Country,Salary,Work Time,Job Level,Job Level Specific,Job_Category,Industry,Qualification 1,Qualification 2,Qualification 3,Qualification 4,Qualification 5,
Senior Supply Chain Executive (Beauty),Glampick Sdn Bhd,Kuala Lumpur,Malaysia,"IDR 13,262,960.00 - IDR 16,578,700.00",Full Time,Associate,Supervisor,Supply Chain and Logistics,Cosmetics,"Strong understanding of procurement principles, practices, and strategies.","Familiarity with sourcing methods, negotiation techniques, and supplier evaluation.","Proven ability to identify and evaluate vendors, negotiate contracts, and manage vendor relationships.","Experience in conducting vendor assessments, performance evaluations, and maintaining a vendor database.",Ability to develop and implement sourcing strategies to optimize procurement efficiency and cost savings.,
Senior Travel and Ticketing Executives | Pasig,Aces Call Center Jobs Inc.,Pasig,Philippines,"IDR 12,525,898.10",Full Time,Entry Level,"Junior, Apprentice",Customer Service,Call Center / BPO,"At least High school graduate, college undergraduate or graduate.",Minimum of 3 years travel account experience in a BPO setting.,Hands on experience in using Amadeus or Sabre on the job,Has good to excellent English communicaation skills.,"Willing to work onsite in Ortigas Center, Pasig.",
SEO Specialist,M2.0 Communications Inc.,Quezon,Philippines,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",IT and Software,Public Relations / PR,Has a bachelor’s degree from a college or university; or equivalent combination of education and experience,Good writing skills,Ability to identify effective keywords for ranking,,Basic understanding of HTML,
SEO Specialist,Astra Credit Companies (ACC),Yogyakarta,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,Bachelor degree from reputable university (open for all major),GPA min. 3.00,Max. 25 years old,Fresh graduates or max. 2 years of working experiences,Experience in organization is more prefered (min. as coordinator),
SEO Writer Internship,Astra Credit Companies (ACC),Yogyakarta,Indonesia,Salary Undisclosed,Full Time,Internship,OJT,IT and Software,Financial Services,Bachelor degree from reputable university (open for all major),GPA min. 3.00,Max. 25 years old,Fresh graduates or max. 2 years of working experiences,Experience in organization is more prefered (min. as coordinator),
Server Kertajaya,Serlok Kopi,Surabaya,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice","Hotel, Restaurant and Travel",Food and Beverages,Experienced in the same field,Honest and disciplined,Willing to work shifts,Have good ethics,Details regarding cleanliness,
Server Mie Setan Bromo Malang,Mie Setan Bromo Malang,Malang,Indonesia,"IDR 1,000,000.00 - IDR 1,200,000.00 / month",Full Time,Entry Level,"Junior, Apprentice","Hotel, Restaurant and Travel",Food and Beverages,Minimum education is SMA/SMK equivalent,Maximum age 26 years,Work experience similar position is preferred,Have good communication skills ,Domiciled in Malang,
Service Advisore,Plaza Auto Group,Batam,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Customer Service,Automotive,Minimum D3 education from Engineeringing major (Mechanical/Industrial/Automotive),2 years of experience working as a Service Advisor and experience as a mechanic is preferred,Able to operate Microsoft Office well,Have good communication skills and attitude towards colleagues and customers.,Have a SIM A and have driving experience with an excellent record,
Service Crew/Barista (Full-Time),PPP Coffee,Singapore,Singapore,"IDR 23,176,060.00 - IDR 28,970,075.00",Full Time,Entry Level,"Junior, Apprentice","Hotel, Restaurant and Travel",Food and Beverages,Customer service attitude,Able to multitask and enjoy working in a fast-paced environment,Able to work independently and in a team with a good learning attitude,Availability to work on weekends and holidays,"Experience in coffee making is ideal, although not mandatory",
Service Engineering,CV Teknologi Berjaya,Surabaya,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Manufacturing and Production,Consumer Services,Male maximum age 35 years,Minimum education is D3/S1 in Strong Current Electrical Engineeringing,"Have knowledge and interest in design, handling, installation, testing, testcom and maintenance work, especially in the fields of MV Panels, Transformers, Terminations and Electrical Construction",Preferably able to drive 4 wheels,"Able to work in the field, sometimes needed for jobs outside the city",
Singapore - ChatGPT Marketing Copywriter (Full-Remote),Aha AI,New York,United States,Salary Undisclosed,Full Time (Remote),Entry Level,"Junior, Apprentice",Sales and Marketing,Computer Software,"Exceptional Writing Ability: Able to write in an engaging, persuasive and creative style. Have a strong understanding of consumer psychology.",Understand the basics of search engine optimization (SEO) and be able to integrate them into the content produced.,"Able to conduct in-depth research on industry, trends, and competitors to produce relevant content.",Ability to collaborate effectively with cross-disciplinary team members.,,
Singapore - Senior Back-End Engineering (Full-Remote),Aha AI,New York,United States,Salary Undisclosed,Full Time (Remote),Entry Level,"Junior, Apprentice",IT and Software,Computer Software,"Minimum 5 years of professional experience as a Back-End Engineering, with a proven track record of delivering scalable and high-performance solutions.",Strong problem-solving and troubleshooting skills with the ability to analyze and resolve complex issues.,Excellent communication skills and the ability to collaborate effectively within a remote team environment.,Proven ability to mentor junior developers and contribute to the technical leadership of the team.,"Bachelor's or higher degree in Computer Science, Engineeringing, or a related field.",
Singapore - Senior Engineeringing Lead (Full-Remote),Aha AI,New York,United States,Salary Undisclosed,Full Time (Remote),Entry Level,"Junior, Apprentice",IT and Software,Computer Software,Minimum 4 years experiences as Full Stack Developer using ReactJS and Node JS,Mandatory experience with MongoDB,"Able to write clean, clear, and readable code",Fluent in English,"Experience with other frontend framework, such as: VueJS is a plus",
Singapore - Senior Mobile App Engineering (Full-Remote),Aha AI,New York,United States,Salary Undisclosed,Full Time (Remote),Entry Level,"Junior, Apprentice",IT and Software,Computer Software,"Have 3+ years of experience doing penetration testing on system infrastructure, mobile apps, and web apps.","Have knowledge of hacking techniques on system infrastructure, mobile apps, and web apps.","Having an understanding of hacking techniques is not only limited to using tools, but is able to understand the hacking process manually.","Understand standards and frameworks for vulnerability scanning and penetration testing processes such as OSSTMM, OWASP, PTES, etc.",,
Singapore - TikToker YouTuber Creator (Full-Remote),Aha AI,New York,United States,Salary Undisclosed,Full Time (Remote),Entry Level,"Junior, Apprentice",Sales and Marketing,Computer Software,"Demonstrable experience in creating and producing engaging content for TikTok and YouTube, with a portfolio showcasing your creativity and style.","In-depth knowledge of TikTok and YouTube algorithms, trends, and best practices.","Proficiency in video editing software (e.g., Adobe Premiere Pro, Final Cut Pro) to produce high-quality and visually appealing content.",Ability to adapt content creation to suit different platforms and audience preferences.,"Excellent communication and storytelling skills, with the ability to connect with diverse audiences.",
Site Reliability Engineering,PT BFI Finance Indonesia Tbk,Tangerang,Indonesia,Salary Undisclosed,Full Time (Remote),Associate,Supervisor,IT and Software,Financial Services,2+ Years of experience as a DevOps/SRE working with medium to large projects,Worked in agile environment and has good grasp of agile cadence,"Experience in major cloud provider, e.g Google Cloud (preferred), AWS, Azure, Alicloud","Experience in CI tools, e.g Github Actions, Jenkins","Experience in CD tools, e.g ArgoCD, Crossplane",
Site Supervisor,PT Fajar Gelora Inti,Jakarta Pusat,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Engineering,Building Materials,"Bachelor's degree in construction management, construction science, civil Engineeringing, or related field is preferred.",Completion of a post-secondary education construction training program.,Proven experience working as a site supervisor.,Sound knowledge of building codes and construction safety regulations.,Working knowledge of construction tools and equipment.,
Social Media / Community Associate (Local Internships),Tinvio,Singapore,Singapore,"IDR 11,588,030.00 - IDR 13,905,636.00",Full Time,Internship,OJT,Media,Information Technology and Services,Great knowledge of current social media trends (and fads),"Excellent written and verbal English communication skills, other regional languages would be an asset",High attention to detail and are extremely organised,Ability to work independently on multiple projects in parallel within tight deadlines and with good time-management skills,Experience with Photoshop and other photo editing platforms,
Social Media and Content Specialist,Glampick Sdn Bhd,Kuala Lumpur,Malaysia,"IDR 8,289,350.00 - IDR 11,605,090.00",Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Cosmetics,"Proven experience in content strategy, content marketing, or a similar role.",Strong understanding of content marketing principles and strategies.,Excellent analytical skills and the ability to derive actionable insights from data.,Familiarity with social media platforms and content distribution channels.,Excellent written and verbal communication skills.,
Social Media Associate/ Intern,Handdi io,Singapore,Singapore,"IDR 9,270,424.00 - IDR 11,588,030.00",Full Time,Internship,OJT,Sales and Marketing,Consumer Services,Minimum diploma or equivalent design or marketing,Video editing skills,Past portfolio of aesthetic social media accounts,Basic knowledge of social media analytics and data interpretation.,,
Social Media Care | Customer Service Associate,Aces Call Center Jobs Inc.,Taguig,Philippines,"IDR 5,010,359.24 - IDR 7,515,538.86",Full Time,Entry Level,"Junior, Apprentice",Customer Service,Call Center / BPO,Filipino,A graduate of any Bachelors degree course,Good to Excellent English communication skills,With 1-year work experience responding to customer inquiries through social media (BPO or non-BPO),"Ability to carry out instructions furnished in written, oral, and diagram form",
Social Media Intern,HAKUHODO,"Thành phố Hồ Chí Minh,",Vietnam,"IDR 1,920,000.00",Full Time,Internship,OJT,Media,Marketing and Advertising,"Be able to work full-time, on-site during 6-12 months","Knowledge in terms of Digital Marketing, Communications, and the industry",Up to date with new trends and developments,Have experience in managing fanpage and working with KOLs/ influencers is highly preferred,"Excellent in task management, time management",
Social Media Intern KG Radio Network,Kompas Gramedia,Jakarta Barat,Indonesia,Salary Undisclosed,Full Time,Internship,OJT,Sales and Marketing,Media Production,Undergraduate students final year from any major,Interest and/or passion of working in media industry,Social media savvy,Creative and willing to learn new things,Good communication and time management skills,
Social Media Intern KOMPAS.com,Kompas Gramedia,Jakarta Pusat,Indonesia,Salary Undisclosed,Full Time,Internship,OJT,Media,Media Production,"Preferably undergraduate student, at least on final year.",Committed to completing the internship period.,Having interest and passion on news or journalism.,Having skill in design graphic.,Updated with current social media issues and trends.,
SOCIAL MEDIA LEADER,TRUM.,"Thành phố Hồ Chí Minh,",Vietnam,"IDR 9,600,000.00 - IDR 14,080,000.00",Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Marketing and Advertising,Communicate with industry professionals and influencers via social media to create a strong network.,"Suggest and implement new features to develop brand awareness, like promotions and competitions.","Stay up-to-date with current technologies and trends in social media, design tools and applications.",Present to the Director/ Head of.,"Going through daily and weekly social media reports to make sure community sentiments are kept in check and if there are issues that need to be escalated, coordinate with the relevant team/stakeholders.",
Social Media Marketing Intern,Big 3 Media,Singapore,Singapore,"IDR 6,952,818.00 - IDR 13,905,636.00",Full Time,Internship,OJT,Sales and Marketing,Media Production,Must be a TikToker with interest in creating content (share with us your TikTok link).,Avid followers of Singaporean social media influencers and have a great sense of what the local content creators arena is like.,"Proficient in software such as Capcut, and Canva (able to use Premier Pro/ Final Cut Pro will be a plus)","Ability to research, conceptualize and work independently",Ability to multitask and work in a fast-paced working environment,
Social Media Marketing Intern,Hypotenuse AI,Singapore,Singapore,Salary Undisclosed,Full Time,Internship,OJT,Sales and Marketing,Computer Software,(Ideally) Able to commit for at least 4-6 months,"(Ideally) Has experience and familiarity with SaaS, B2B start-ups and social media marketing for similar types of companies","Strong familiarity with social media and high awareness of trending topics, conversations, and business influencers",Experienced and skilled in graphic design for marketing,Analytical and logical,
Social Media Specialist,NOKA - NOU Creative Group,Malang,Indonesia,"IDR 2,500,000.00 - IDR 5,000,000.00 / month",Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Cosmetics,"Work From Office in Malang, or Hybrid.","Creative, communicative, initiative, critical, able to work together.","Honest, responsible, professional and polite.","Have a portfolio, relevant experience.","Have motivation in the world of social media, digital marketing.",
Software Controls Engineeringing Intern (Jan 2024 or later),Atomionics,Singapore,Singapore,"IDR 17,382,045.00",Full Time,Internship,OJT,IT and Software,Oil and Energy,"An absolutely driven individual with demonstrated creative problem-solving skills, analytical mind, and persistence, ideally demonstrated","Experienced in Matlab as well as frequency domain, time domain, and signal analysis Able to program in Matlab, C++ and Python","Familiar with Discrete Fourier Transforms, probability density functions and the basics of resonant systems, vibrations, and controls",Modeled systems theoretically/mathematically,"Worked in a technical student team, or an early stage company environment",
Software Developer,Mavericks Consulting,Singapore,Singapore,Salary Undisclosed,Full Time,Mid-Senior Level,Manager,IT and Software,Information Technology and Services,"Experience with developing different applications (e.g. Web, Mobile, Cloud, etc.)",Experience with developing applications for various industries,"Experience in other areas of the SDLC (e.g. Testing, Deployment, Requirement Gathering, etc.)",Experience with DevOps practices and Automation tools,Experience with delivering and deploying large scale applications using practices such as 12-factor apps,
Software Developer,Commsult,Tangerang Selatan,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",IT and Software,Information Technology / IT,"Bachelor's degree in Computer Science, Software Engineeringing, or a related field (or equivalent work experience).","Proven experience as a Full-Stack Software Developer, with 1 - 3 years of experience in related roles.","Proficient in programming languages JavaScript*, Java*, and Flutter.","Strong experience with front-end technologies like HTML, CSS, JavaScript frameworks (e.g., React, Angular, or Vue.js).","Solid understanding of back-end technologies, including server-side frameworks (e.g., Node.js, Java Spring Boot, Django, or .NET).",
Software Engineering,Mitramas Infosys Global,Jakarta Selatan,Indonesia,"IDR 6,000,000.00 - IDR 8,000,000.00",Full Time,Entry Level,"Junior, Apprentice",IT and Software,Information Technology / IT,Fresh graduate Bachelor or Diploma degree in Computer Science or related fields,Bachelor or Diploma degree in any fields with related experience,Strong in algorithms and object-oriented programming,"Strong knowledge of minimum 1 programming language (Java/PHP/Go/Javascript/React, etc)",Strong desire to learn new technologies related to software development.,
Software Engineering,MileApp,Jakarta Barat,Indonesia,Salary Undisclosed,Full Time (Remote),Associate,Supervisor,IT and Software,Information Technology / IT,Bachelor’s degree of Information Systems / Information Technology,At least have 1 year experience as Software Engineering (Backend),Knowledge in languages such as NodeJS and PHP,"Experience in database such as MySQL, MongoDB and Elastic","Experience in frameworks such as Laravel, Codeigniter, NodeJs, ExpressJS",
Software Engineering,Hangry,Jakarta Barat,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",IT and Software,Food / Beverages,Bachelor's degree of Computer Science or related field,"1-2 years of experience as software Engineering is preferred, but fresh graduates are also welcome","API knowledge, Typescript, Node js, SQL, Git, redis, Linux, Docker","Communication Skill, Problem-solving Skill, Teamwork Skill",,
Software Engineering - Bandung - Jakarta - Jogjakarta,PT Akhdani Reka Solusi,Bandung,Indonesia,"IDR 4,200,000.00 - IDR 8,000,000.00",Full Time,Entry Level,"Junior, Apprentice",IT and Software,Information Technology / IT,"Minimum D3/S1 education from the Department of Information Engineeringing, Computer Science, Information Systems, and similar",Understand basic programming concepts,"Preferably mastering the following programming languages: Java (Spring, Micronaut, or other framework); or PHP Laravel, Code Igniter or other REST-API based frameworks; or .NET core",Familiar with the use of version control,"Understand access, use and queries to databases",
Software Engineering Internship,Vibefam,Singapore,Singapore,"IDR 11,588,030.00 - IDR 17,382,045.00",Full Time,Internship,OJT,IT and Software,Information Technology and Services,Strong knowledge in software development life cycle,"Strong experience in Javascript, from the front-end to back-end including Node.Js","Experience in front-end frameworks, e.g. React, Angular or Vue.JS",Experience in Vue.JS is preferred,Some knowledge in database schemas and cloud computing is preferred,
"Software Engineering, Data",FinAccel,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",IT and Software,Financial Services,"1-2 years (for Junior role) and 3-5 years (for Senior role) of relevant experiences in Software Engineeringing, Data Engineeringing, and /or Machine Learning Engineeringing",Ability to write robust code in Python.,"High degree of proficiency with RDBMS (i.e. MySQL, PostgreSQL) and No-SQL platforms (i.e. S3).","Having baseline knowledge of data structures, data modeling and software architecture related to Machine Learning.",Strong interest in building scalable and reliable Machine Learning / AI related services.,
Software Engineeringing (Python) Intern (Jan 2024 or later),Atomionics,Singapore,Singapore,"IDR 17,382,045.00",Full Time,Internship,OJT,IT and Software,Oil and Energy,Able to program and debug in Python,Worked on projects that had some level of electro-mechanical functionalities and data gathering,"Experience in developments on embedded systems is ideal (use of graphical library, like Qt, for embedded systems is an advantage)","Worked in a technical student team, or an early stage company environment",Experience in scripting/software experience in projects through to testing and completion Worked on machine learning algorithms before,
Software Quality Assurance,Mitramas Infosys Global,Jakarta Selatan,Indonesia,"IDR 5,000,000.00 - IDR 6,000,000.00",Full Time,Entry Level,"Junior, Apprentice",IT and Software,Information Technology / IT,"At least a Diploma/ Bachelor's Degree of Computer Science/Information Technology, Science or equivalent","Hands on experience in designing and executing requirements-driven, functional test cases and test suites",Strong knowledge of relational databases and SQL queries,Basic understanding of Network Infrastructure,Basic understanding of VMWare,
Software Quality Assurance Staff,PT BCA Finance,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",IT and Software,Financial Services,Maximum age 26 years,Bachelor's degree in Information Systems / Informatics Engineeringing / Computer Science,Minimum GPA 3.00.,Can do coding,,
Solution and Content QC Supervisor,GlobalTix Pte Ltd,Singapore,Singapore,Salary Undisclosed,Full Time,Associate,Supervisor,Product Management and Project Management,Information Technology and Services,Diploma / Degree holders.,Good command in English,"Strong attention to detail and spelling, and punctuation skills.","Ability to work independently, manage time efficiently, and meet deadlines.",Strong communication skills and the ability to collaborate effectively with cross-functional teams.,
Solution Architect-SAP (Application Architect-SAP),PT. Jasa Teknologi Informasi IBM,Jakarta Pusat,Indonesia,Salary Undisclosed,Full Time,Mid-Senior Level,Manager,IT and Software,Information Technology / IT,"Experience in a client facing role to be able to present, prepare client proposal, provide/manage Proof of Concept in the SAP system for use cases, work with OO on the solution value proposition and IBM unique solution","Experience SAP implementation projects of at least 10 years in large scale, business transformation across several functional domains, e.g. Finance, Supply Chain, Procurement, Analytic and Business Planning, etc.","Knows SAP FICO, MM, SD, PP, PM, QM, Data migration, interfaces, Quad A, IMPACT solution",Experience in the areas of SAP implementation as functional consultant and integration manager. Able to work with technical team to put together both functional and enterprise architecture,"Deep knowledge of SAP platform in cross industries including function trends of latest S/4HANA version and new SAP products such as SAC, PaPM",
Sound Designer for Game Dev,Trueworld Studios,Singapore,Singapore,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Design,Entertainment,A fundamental understanding of design,Be able to adapt and contribute as a team member and artist.,The ability to create Animations in a Game-ready pipeline.,A good attitude and outlook towards learning and adapting.,Pride in their work and workflow.,
Sourcing Specialist (Buyer) ,PT Bank BTPN Tbk,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,General Services,Banking / Mortgage,Minimum S1 education,Have experience as a Buyer.,"Have good analytical skills, negotiation, communication and problem solving skills.",Have an understanding of the tender/bidding process for procurement of goods/services.,,
Special Force,The Body Shop Indonesia,Tangerang,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Customer Service,Retail Industry,Aged 18 – 25 years,Minimum SMA/SMK education,Have English language skills,Ready to work in a shift system,Care about environmental and social issues,
Sr. Fullstack Engineering,FinAccel,Jakarta Pusat,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,IT and Software,Financial Services,"B.S, M.S, and/or PhD in Computer Science or equivalent",4+ years of working experience in the Software industry,Well versed with Object Oriented Programming concepts,"Strong understanding of Data Structures, Algorithms, and Computer Science fundamentals",Experience working on Node.JS,
Sr. Leasing Manager,PRIME Philippines,Quezon,Philippines,Salary Undisclosed,Full Time,Mid-Senior Level,Manager,Management and Consultancy,Real Estate,"Bachelor's degree in Real Estate, Business Administration, or a related field. An advanced degree is a plus.","Proven track record of more than 8 years in leasing management, preferably within the commercial real estate sector or related industry.",Exceptional leadership skills with the ability to inspire and guide a high-performing team.,"Profound understanding of leasing processes, strategies, team management, and market dynamics.","Strong negotiation, communication, and interpersonal skills.",
Sr. Legal and Compliance Officer,Kitabisa,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Mid-Senior Level,Manager,"Legal, Consulting and Translation",IT and Software,Bachelor's degree in Law.,"A minimum of 5 years of legal experience in the insurance industry, with a focus on regulatory compliance, contract negotiation, and litigation management.","Strong understanding of insurance laws and regulations, including but not limited to insurance contracts, underwriting, and claims management.","Proven experience in managing insurance-related litigation and claims, including oversight of external counsel and successful resolution.","Exceptional negotiation and drafting skills, with a track record of complex contract negotiations in the insurance sector.",
Sr. Node.js Back End Developer - Jixie,Kompas Gramedia,Jakarta Barat,Indonesia,Salary Undisclosed,Full Time,Mid-Senior Level,Manager,IT and Software,Media Production,Have at least 5+ years experience using Node.js and frameworks available such as Express.js,"Strong knowledge of AWS, Azure, and Huawei Cloud services for backend development.",Strong knowledge of building complex SQL queries,"Understanding differences between multiple delivery platforms, such as mobile vs. desktop, and optimizing output to match the specific platform",Proficient with code versioning tools (Git/BitBucket),
Sr. Node.js Backend Developer - Jixie,Kompas Gramedia,Jakarta Barat,Indonesia,Salary Undisclosed,Full Time (Remote),Mid-Senior Level,Manager,IT and Software,Media Production,Have at least 5+ years experience using Node.js and frameworks available such as Express.js,"Strong knowledge of AWS, Azure, and Huawei Cloud services for backend development.",Strong knowledge of building complex SQL queries,"Understanding differences between multiple delivery platforms, such as mobile vs. desktop, and optimizing output to match the specific platform",Proficient with code versioning tools (Git/BitBucket),
Staf Business Support,PT Bank Central Asia Tbk,Jakarta Pusat,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Administration,Financial Services,Minimum education: S1 from Law major,Minimum Grade Point Average (GPA) of 2.75 on a scale of 4.00,Maximum age 26 years,Have high accuracy for administrative work,Fresh graduate or 1-2 years experience,
Staf Marketing,PT Bank Central Asia Tbk,Jakarta Pusat,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,"Good looking, friendly and communicative",Have strong analytical and planning skills,Have good communication and presentation skills,Minimum S1 graduate and open to all majors,Minimum GPA of 2.75 on a 4.00 scale,
Staf Rekrutmen,PT Bank Central Asia Tbk,Jakarta Pusat,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,Minimum Bachelor's degree from Psychology major,Minimum GPA 3.00 (scale 4.00),Maximum age 26 years,Have an interest in the field of recruitment,Master and understand psychological test tools,
Staff Admin,CV 77,Surabaya,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Administration,Marketing and Advertising,Able to operate a computer (Standard Admin Program),Minimum 1 year experience (Preferred),Have a desire to learn,Can work individually or in a team,Max age 35 years,
Staff Architect,PT. Archikon Wiratama,Surabaya,Indonesia,Salary Undisclosed,Full Time,Mid-Senior Level,Manager,Engineering,Architecture and Planning,Have experience -/+ 1 year in Architectural Consultant.,Bachelor of Architecture graduate.,"Prepare detailed architectural working drawings, specifications, materials and work methods.","Mastering Autocad, 3D Skectup (priority mastering rendering programs such as Enscape and Lumion) and Photoshop/Illustrator.",Can work as a team.,
Staff Human Capital (HC),Workforc Indonesia,Surabaya,Indonesia,"IDR 4,500,000.00 - IDR 5,500,000.00 / month",Full Time,Mid-Senior Level,Manager,Human Resources,Human Resources,Age 25-35 years,Good sense of humoor dan tech savvy,"Good analytical thinking, problem solving and descision making",Able to join immediately,"Computer literacy (MS Office applications, in particular)",
Staff PPIC,Think Indonesia,Surabaya,Indonesia,"IDR 4,900,000.00 / month",Full Time,Entry Level,"Junior, Apprentice",Accounting and Finance,Management Consulting,Maximum age 35 years,"Minimum education: S1 Industrial Engineeringing, GPA Min. 2.75",Experience Min. 2 years in a manufacturing company as PPIC Staff with a make to order production system,Understand ISO 9001:2015 and SNI quality management,Able to arrange production schedules according to available machine capacity,
Store Manager,Dekoruma,Jakarta Barat,Indonesia,Salary Undisclosed,Contractual,Associate,Supervisor,Sales and Marketing,E-Commerce,"Possess Bachelor Degree (S1) all major, Interior design is a plus",Min 2 years of experience working in a retail environment as Retail Store Manager,Strong leadership and customer management abilities,Experienced in handling end-to-end store operations,Customer service-oriented with in-depth knowledge of basic business management processes,
Store Manager Cirebon,Dekoruma,Jakarta Barat,Indonesia,Salary Undisclosed,Contractual,Entry Level,"Junior, Apprentice",Sales and Marketing,E-Commerce,"Possess Bachelor Degree (S1) all major, Interior design is a plus",Min 2 years of experience working in a retail environment as Retail Store Manager,Strong leadership and customer management abilities,Experienced in handling end-to-end store operations,Customer service-oriented with in-depth knowledge of basic business management processes,
Store Merchandiser,AVO Innovation Technology,Sleman,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Cosmetics,Minimum 1-year relevant experience in related fields;,"Comfortable working with numbers, organized, strong analytical skills, good detail orientation;",Must have a thorough knowledge to plan and develope merchandising strategies;,Excellent communication and negotiation skills.,"Analyzing sales figures, customers reactions and market trends to anticipate product needs.",
Store Superintendent Gramedia Area Tangerang,Kompas Gramedia,Tangerang,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Media Production,Minimum Bachelor's degree (all majors),Minimum GPA 3.00,It is an added value if you have work experience in the retail world,Have digital selling skills,Have good communication and strong leadership,
Store Superintendent Gramedia Balikpapan,Kompas Gramedia,Balikpapan,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Sales and Marketing,Media Production,Minimum Bachelor's degree (all majors),Minimum GPA 3.00,It is an added value if you have work experience in the retail world,Have digital selling skills,Have good communication and strong leadership,
Store Superintendent Gramedia Pontianak,Kompas Gramedia,Pontianak,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Sales and Marketing,Media Production,Minimum Bachelor's degree (all majors),Minimum GPA 3.00,It is an added value if you have work experience in the retail world,Have digital selling skills,Have good communication and strong leadership,
Store Supervisor - Gramedia Pettarani Makassar,Kompas Gramedia,Makassar,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Sales and Marketing,Media Production,Minimum Bachelor's degree (all majors),Minimum GPA 3.00,It is an added value if you have work experience in the retail world,Have digital selling skills,Have good communication and strong leadership,
Store Supervisor Gramedia Bali,Kompas Gramedia,Denpansar,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Sales and Marketing,Media Production,Minimum Bachelor's degree (all majors),Minimum GPA 3.00,It is an added value if you have work experience in the retail world,Have digital selling skills,Have good communication and strong leadership,
Strategic Partnership Specialist,PT. Astra Welab Digital Arta,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Information Technology / IT,Bachelor's degree,At least have experience 1-2 year(s) in Partnership,Strong analytical and planning skills,Good communication and presentation skills,Excellent in business sense and problem-solving skills,
Stratergic Management Officer (Oct 23),Kompas Gramedia,Jakarta Barat,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Management and Consultancy,Media Production,"Minimum Bachelor's degree with a minimum GPA of 3.00, preferably majoring in Management/Industrial Engineeringing",Having good communication skills,Have the ability to make good presentations,Have an understanding of business processes,"Have computer skills, minimum MS Office and Internet",
Student Advisor and English Teacher,SUN Education Group,Surabaya,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Education and Training,Education Management,Min. Bachelor’s Degree.,Strong passion in Sales and Services.,Minimum has one year of experience in sales.,A good command in English both verbal and written.,"Able teaching math (SAT, GMAT, GRE) is preferable",
Student Support Office,Kompas Gramedia,Tangerang,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Media,Media Production,Minimum Master Degree majoring in Education Psychology,Must be able to do counseling with a professional certificate (SSP),Have a practice license (SIPP),Have 2-3 years experience,Have insight into current psychological issues or conditions,
Subaru Consultant,Plaza Auto Group ,Bandung,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Automotive,Own SIM A,Having previous experience in the car sales field is preferred,Bachelor degree from all majors is welcomed,Focused in delivering best costumer experience,Good looking and excellent verbal and written communication skills,
Supervisor Application Developer (.Net),PT. Adicipta Inovasi Teknologi (Adins),Jakarta Barat,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Sales and Marketing,Media Production,Bachelor’s degree in Computer Engineeringing / Computer Science / Information System with GPA > 3.00,Must have experience on the same position for more than 2 years (Senior Developer or Developer Supervisor/Teamlead),In-depth knowledge of programming for diverse operating systems and platforms using development tools,Excellent understanding of software design and programming principles,"Must have experience with .NET, ASP .NET, C# .NET, SQL Server",
